lat,lon,ele,name,text_date,text_time,t
27.940499,98.653005,1497.98,,2019-11-10,10:31:56,37916
27.940037,98.652857,1497.34,,2019-11-10,10:31:59,37919
27.939521,98.65269,1496.86,,2019-11-10,10:32:02,37922
27.938919,98.652605,1492.79,,2019-11-10,10:32:05,37925
27.938237,98.652473,1490.28,,2019-11-10,10:32:08,37928
27.937517,98.652409,1486.49,,2019-11-10,10:32:11,37931
27.936844,98.652398,1483.14,,2019-11-10,10:32:14,37934
27.936215,98.652277,1483.32,,2019-11-10,10:32:17,37937
27.935674,98.652138,1484.17,,2019-11-10,10:32:20,37940
27.935223,98.651992,1486.61,,2019-11-10,10:32:23,37943
27.934799,98.651741,1482.74,,2019-11-10,10:32:26,37946
27.934492,98.651538,1481.26,,2019-11-10,10:32:29,37949
27.934194,98.651356,1480.84,,2019-11-10,10:32:32,37952
27.933789,98.651175,1479.6,,2019-11-10,10:32:35,37955
27.933315,98.650978,1479.54,,2019-11-10,10:32:38,37958
27.932788,98.650716,1481.01,,2019-11-10,10:32:41,37961
27.932245,98.650407,1484.11,,2019-11-10,10:32:44,37964
27.931665,98.65013,1485.71,,2019-11-10,10:32:47,37967
27.931082,98.649883,1487.36,,2019-11-10,10:32:50,37970
27.930685,98.649746,1488.09,,2019-11-10,10:32:53,37973
27.929912,98.649627,1491.6,,2019-11-10,10:32:57,37977
27.929383,98.649592,1493.14,,2019-11-10,10:33:00,37980
27.928952,98.649682,1491.64,,2019-11-10,10:33:03,37983
27.928708,98.649898,1494.04,,2019-11-10,10:33:06,37986
27.928591,98.649979,1493.07,,2019-11-10,10:33:09,37989
27.928514,98.650054,1492.64,,2019-11-10,10:33:12,37992
27.92849,98.650076,1493.54,,2019-11-10,10:33:15,37995
27.928414,98.650115,1493.4,,2019-11-10,10:33:21,38001
27.928275,98.650183,1493.76,,2019-11-10,10:33:24,38004
27.927981,98.650376,1495.86,,2019-11-10,10:33:27,38007
27.927653,98.650603,1499.03,,2019-11-10,10:33:30,38010
27.927241,98.650889,1502.68,,2019-11-10,10:33:33,38013
27.926823,98.651113,1505.39,,2019-11-10,10:33:36,38016
27.926462,98.651416,1507.19,,2019-11-10,10:33:39,38019
27.926228,98.651901,1507.78,,2019-11-10,10:33:42,38022
27.926067,98.652479,1505.49,,2019-11-10,10:33:45,38025
27.926007,98.653153,1505.51,,2019-11-10,10:33:48,38028
27.926012,98.653861,1505.92,,2019-11-10,10:33:51,38031
27.925899,98.654552,1505.96,,2019-11-10,10:33:54,38034
27.925687,98.655213,1505.74,,2019-11-10,10:33:57,38037
27.925545,98.655947,1502.13,,2019-11-10,10:34:00,38040
27.925432,98.656702,1501.58,,2019-11-10,10:34:03,38043
27.925425,98.657515,1500.28,,2019-11-10,10:34:06,38046
27.925452,98.658352,1498.13,,2019-11-10,10:34:09,38049
27.925484,98.65925,1493.3,,2019-11-10,10:34:12,38052
27.925499,98.660172,1488.61,,2019-11-10,10:34:15,38055
27.92546,98.661081,1488.98,,2019-11-10,10:34:18,38058
27.925447,98.66193,1487.66,,2019-11-10,10:34:21,38061
27.925588,98.66274,1492.84,,2019-11-10,10:34:24,38064
27.925675,98.663534,1492.32,,2019-11-10,10:34:27,38067
27.925649,98.664375,1492.13,,2019-11-10,10:34:30,38070
27.925661,98.665187,1489.21,,2019-11-10,10:34:33,38073
27.925804,98.665917,1488.71,,2019-11-10,10:34:36,38076
27.926178,98.666552,1489.07,,2019-11-10,10:34:39,38079
27.926578,98.667159,1487.6,,2019-11-10,10:34:42,38082
27.927046,98.667705,1487.57,,2019-11-10,10:34:45,38085
27.927517,98.668142,1481.05,,2019-11-10,10:34:48,38088
27.928241,98.668484,1482.47,,2019-11-10,10:34:51,38091
27.928889,98.668812,1482.17,,2019-11-10,10:34:54,38094
27.929548,98.669054,1485.87,,2019-11-10,10:34:57,38097
27.930148,98.669203,1488.32,,2019-11-10,10:35:00,38100
27.9306,98.669327,1485.57,,2019-11-10,10:35:03,38103
27.930447,98.669901,1484.12,,2019-11-10,10:35:06,38106
27.930534,98.670406,1487.89,,2019-11-10,10:35:09,38109
27.930508,98.670991,1487.69,,2019-11-10,10:35:12,38112
27.930291,98.671644,1487.71,,2019-11-10,10:35:15,38115
